county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_59,865_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Grant County, NM",NM,11295,0.3958,0.6842,3059
"Williamsburg County, SC",SC,12291,0.3653,0.6809,3057
"Caswell County, NC",NC,8830,0.4986,0.6941,3056
"Brown County, IN",IN,6781,0.6442,0.699,3053
"Fayette County, IA",IA,8342,0.5022,0.7288,3053
"Beadle County, SD",SD,7536,0.5521,0.7338,3053
"Lafayette County, WI",WI,6763,0.6065,0.7438,3051
"Pontotoc County, MS",MS,11819,0.4293,0.6006,3047
"Mariposa County, CA",CA,7508,0.5655,0.7172,3045
"Decatur County, GA",GA,10621,0.4478,0.6402,3045
"Clayton County, IA",IA,7509,0.5545,0.7288,3034
"Richland County, ND",ND,6849,0.6046,0.7321,3031
"Orange County, IN",IN,7970,0.5436,0.699,3029
"Smith County, TN",TN,7932,0.5549,0.6875,3026
"Ogemaw County, MI",MI,9370,0.4541,0.7106,3024
"Cherokee County, AL",AL,10192,0.4667,0.6351,3021
"Manassas Park city, VA",VA,5193,0.8111,0.7172,3021
"Panola County, MS",MS,12312,0.4081,0.6006,3018
"Brooke County, WV",WV,9675,0.4576,0.6809,3014
"Mono County, CA",CA,5744,0.7311,0.7172,3012
"Abbeville County, SC",SC,9762,0.4523,0.6809,3006
"Ohio County, KY",KY,9107,0.4783,0.6892,3002
"Morgan County, WV",WV,7342,0.6001,0.6809,3000
"Paulding County, OH",OH,7624,0.5588,0.704,2999
"Union County, SC",SC,11611,0.3792,0.6809,2998
"Randolph County, MO",MO,9247,0.4605,0.7024,2991
"Washington County, MO",MO,8920,0.4766,0.7024,2986
"Neshoba County, MS",MS,10283,0.4827,0.6006,2981
"Humboldt County, NV",NV,6911,0.6314,0.6809,2971
"Perry County, KY",KY,11078,0.3889,0.6892,2969
"Hancock County, IL",IL,7613,0.5442,0.7156,2965
"Washburn County, WI",WI,7566,0.5262,0.7438,2961
"Iowa County, IA",IA,6909,0.587,0.7288,2956
"Toombs County, GA",GA,10409,0.4434,0.6402,2955
"Perry County, IL",IL,7875,0.5236,0.7156,2951
"Grayson County, KY",KY,10129,0.4226,0.6892,2950
"Nodaway County, MO",MO,8460,0.4964,0.7024,2950
"Schuyler County, NY",NY,7355,0.5598,0.7139,2940
"Lincoln County, NM",NM,10000,0.4292,0.6842,2937
"Richland County, WI",WI,7250,0.5443,0.7438,2935
"Pike County, MS",MS,15007,0.3254,0.6006,2933
"Panola County, TX",TX,8898,0.5148,0.6402,2932
"Lincoln County, KY",KY,9705,0.438,0.6892,2929
"Webster Parish, LA",LA,14334,0.3265,0.6254,2927
"Winston County, AL",AL,9420,0.4891,0.6351,2926
"Upshur County, WV",WV,9557,0.4497,0.6809,2926
"Otoe County, NE",NE,6383,0.6279,0.7288,2921
"Carbon County, UT",UT,8123,0.4896,0.7288,2899
"Montague County, TX",TX,8538,0.5302,0.6402,2898
"Union County, TN",TN,7931,0.5313,0.6875,2897
"Burleson County, TX",TX,7900,0.5712,0.6402,2889
"Hardee County, FL",FL,8219,0.5088,0.6892,2882
"Tama County, IA",IA,6720,0.5883,0.7288,2881
"Fulton County, IN",IN,8051,0.5111,0.699,2876
"Nicholas County, WV",WV,9466,0.4459,0.6809,2874
"Marion County, AL",AL,10614,0.4247,0.6351,2863
"Kanabec County, MN",MN,6564,0.5806,0.7504,2860
"Bourbon County, KY",KY,8134,0.5091,0.6892,2854
"Pennington County, MN",MN,6207,0.6128,0.7504,2854
"Clay County, IA",IA,7282,0.5375,0.7288,2853
"Fayette County, IL",IL,7814,0.5084,0.7156,2843
"Lavaca County, TX",TX,8476,0.5229,0.6402,2838
"Marquette County, WI",WI,6987,0.5445,0.7438,2830
"Madison County, NC",NC,8342,0.4885,0.6941,2829
"Allen County, KY",KY,8035,0.5103,0.6892,2826
"Harrison County, IA",IA,6089,0.6366,0.7288,2825
"Pointe Coupee Parish, LA",LA,8335,0.5412,0.6254,2821
"Sibley County, MN",MN,5929,0.6338,0.7504,2820
"Osage County, KS",KS,6432,0.6118,0.7156,2816
"De Soto Parish, LA",LA,10504,0.4283,0.6254,2814
"Mercer County, IL",IL,6565,0.5985,0.7156,2812
"Evangeline Parish, LA",LA,12561,0.3578,0.6254,2811
"Roseau County, MN",MN,6296,0.5948,0.7504,2810
"Harrison County, KY",KY,7293,0.5581,0.6892,2805
"Morgan County, MO",MO,8699,0.4581,0.7024,2799
"Burnett County, WI",WI,7188,0.5234,0.7438,2798
"Martin County, NC",NC,9502,0.4241,0.6941,2797
"Colorado County, TX",TX,7937,0.5499,0.6402,2794
"De Witt County, IL",IL,6595,0.5915,0.7156,2792
"George County, MS",MS,9302,0.4994,0.6006,2790
"Southampton County, VA",VA,6868,0.566,0.7172,2788
"Ste. Genevieve County, MO",MO,7137,0.556,0.7024,2787
"Itawamba County, MS",MS,9619,0.4815,0.6006,2782
"Perry County, MO",MO,7525,0.5261,0.7024,2781
"DeKalb County, TN",TN,8652,0.4658,0.6875,2771
"Giles County, VA",VA,6698,0.5769,0.7172,2771
"Randolph County, AL",AL,9271,0.4703,0.6351,2769
"Saline County, MO",MO,8053,0.4895,0.7024,2769
"Ketchikan Gateway Borough, AK",AK,5732,0.6747,0.7156,2767
"Union County, MS",MS,9849,0.4678,0.6006,2767
"Warren County, IL",IL,6787,0.5685,0.7156,2761
"Simpson County, KY",KY,8025,0.4992,0.6892,2761
"Texas County, MO",MO,9503,0.4137,0.7024,2761
"Labette County, KS",KS,8078,0.4771,0.7156,2758
"Aitkin County, MN",MN,7222,0.5083,0.7504,2755
"Yancey County, NC",NC,8130,0.4877,0.6941,2752
"Limestone County, TX",TX,8389,0.5117,0.6402,2748
"Baker County, OR",OR,7355,0.51,0.7321,2746
"Logan County, CO",CO,8203,0.458,0.7305,2745
"Rabun County, GA",GA,7615,0.563,0.6402,2745
"Dillon County, SC",SC,10829,0.3723,0.6809,2745
"Johnson County, AR",AR,10316,0.4049,0.657,2744
"Bosque County, TX",TX,7496,0.5708,0.6402,2739
"Pike County, GA",GA,6721,0.636,0.6402,2737
"Perry County, IN",IN,7758,0.5047,0.699,2737
"Grainger County, TN",TN,9660,0.4112,0.6875,2731
"Caddo County, OK",OK,9053,0.4587,0.657,2728
"Hardin County, IA",IA,7038,0.5316,0.7288,2727
"Lauderdale County, TN",TN,9325,0.4251,0.6875,2726
"Andrews County, TX",TX,6844,0.6215,0.6402,2723
"Clark County, IL",IL,6555,0.58,0.7156,2720
"Poquoson city, VA",VA,4728,0.8011,0.7172,2717
"Logan County, AR",AR,8521,0.4851,0.657,2716
"Nelson County, VA",VA,6364,0.5951,0.7172,2716
"Seward County, KS",KS,7257,0.5228,0.7156,2715
"Edgar County, IL",IL,7567,0.5011,0.7156,2714
"Cherokee County, KS",KS,7887,0.4809,0.7156,2714
"McDonald County, MO",MO,8558,0.4515,0.7024,2714
"Hamilton County, IA",IA,6434,0.5781,0.7288,2711
"Mills County, IA",IA,5394,0.6891,0.7288,2709
"Floyd County, IA",IA,6503,0.571,0.7288,2706
"Lincoln County, MT",MT,9082,0.4058,0.7321,2698
"Idaho County, ID",ID,6776,0.5442,0.7305,2694
"Bee County, TX",TX,8807,0.4775,0.6402,2692
"Tipton County, IN",IN,6266,0.613,0.699,2685
"Morgan County, TN",TN,7188,0.5431,0.6875,2684
"Lee County, TX",TX,6984,0.6001,0.6402,2683
"Woodward County, OK",OK,7925,0.5133,0.657,2673
"Yell County, AR",AR,8323,0.4881,0.657,2669
"Butler County, IA",IA,5863,0.6246,0.7288,2669
"Lamar County, GA",GA,7133,0.583,0.6402,2662
"Simpson County, MS",MS,9543,0.4641,0.6006,2660
"Crawford County, IA",IA,6331,0.5756,0.7288,2656
"Marion County, KY",KY,7724,0.4986,0.6892,2654
"Crawford County, WI",WI,6706,0.5321,0.7438,2654
"Renville County, MN",MN,6056,0.5833,0.7504,2651
"Young County, TX",TX,7643,0.5413,0.6402,2649
"Overton County, TN",TN,9071,0.4234,0.6875,2640
"Polk County, TN",TN,7424,0.517,0.6875,2639
"Hockley County, TX",TX,7915,0.5208,0.6402,2639
"Grant County, AR",AR,6978,0.5755,0.657,2638
"Gilchrist County, FL",FL,7151,0.5352,0.6892,2638
"Archuleta County, CO",CO,5921,0.6089,0.7305,2634
"Scott County, VA",VA,9127,0.4024,0.7172,2634
"Kossuth County, IA",IA,6543,0.5519,0.7288,2632
"Redwood County, MN",MN,6293,0.5565,0.7504,2628
"Elbert County, GA",GA,8376,0.4878,0.6402,2616
"Sullivan County, IN",IN,7832,0.4772,0.699,2613
"Meriwether County, GA",GA,8391,0.4862,0.6402,2612
"Harlan County, KY",KY,10731,0.3531,0.6892,2611
"Burke County, GA",GA,9184,0.4434,0.6402,2607
"Breckinridge County, KY",KY,8069,0.4681,0.6892,2603
"Benton County, MO",MO,8573,0.4318,0.7024,2600
"Ashland County, WI",WI,6832,0.5107,0.7438,2595
"Washington County, IL",IL,5795,0.6254,0.7156,2594
"Rush County, IN",IN,6746,0.5496,0.699,2592
"Allamakee County, IA",IA,5950,0.597,0.7288,2589
"Boone County, WV",WV,7927,0.4795,0.6809,2588
"St. James Parish, LA",LA,7543,0.5484,0.6254,2587
"Teton County, ID",ID,4677,0.7569,0.7305,2586
"Patrick County, VA",VA,7781,0.4618,0.7172,2577
"Sumter County, GA",GA,10986,0.3662,0.6402,2575
"Jefferson County, IA",IA,6952,0.5076,0.7288,2572
"Prince Edward County, VA",VA,7641,0.4681,0.7172,2565
"Prentiss County, MS",MS,9595,0.4444,0.6006,2561
"Jay County, IN",IN,7807,0.4688,0.699,2558
"Gray County, TX",TX,7991,0.4994,0.6402,2555
"Conway County, AR",AR,8279,0.4692,0.657,2552
"McDuffie County, GA",GA,8149,0.4885,0.6402,2548
"Fairfield County, SC",SC,8930,0.4182,0.6809,2543
"Shelby County, TX",TX,9366,0.4241,0.6402,2543
"Gaines County, TX",TX,6929,0.5712,0.6402,2534
"Otero County, CO",CO,7584,0.4573,0.7305,2533
"Faribault County, MN",MN,6079,0.5551,0.7504,2532
"Fountain County, IN",IN,6941,0.5216,0.699,2531
"Meigs County, OH",OH,9102,0.3949,0.704,2530
"Converse County, WY",WY,5772,0.6095,0.7189,2529
"Adams County, MS",MS,11464,0.3672,0.6006,2528
"Adams County, WA",WA,6288,0.5438,0.7388,2526
"Humphreys County, TN",TN,7241,0.5057,0.6875,2517
"Banks County, GA",GA,6856,0.5714,0.6402,2508
"Knox County, KY",KY,11711,0.3104,0.6892,2505
"Jefferson County, MT",MT,4996,0.6829,0.7321,2498
"Uvalde County, TX",TX,8417,0.4635,0.6402,2498
"Skamania County, WA",WA,5019,0.6728,0.7388,2495
"Cooper County, MO",MO,6246,0.5682,0.7024,2493
"Franklin County, GA",GA,8994,0.4329,0.6402,2492
"Floyd County, VA",VA,6627,0.5239,0.7172,2490
"Johnson County, KY",KY,9040,0.399,0.6892,2486
"Potter County, PA",PA,6992,0.4969,0.7156,2486
"Clear Creek County, CO",CO,4677,0.7258,0.7305,2480
"Appomattox County, VA",VA,6639,0.5208,0.7172,2480
"Madison County, VA",VA,5482,0.6289,0.7172,2473
"Grundy County, IA",IA,5117,0.6624,0.7288,2470
"Beckham County, OK",OK,8188,0.4592,0.657,2470
"Price County, WI",WI,6539,0.5072,0.7438,2467
"Pierce County, GA",GA,7605,0.5064,0.6402,2466
"Moultrie County, IL",IL,5817,0.5921,0.7156,2465
"Sabine Parish, LA",LA,8785,0.4485,0.6254,2464
"Carbon County, WY",WY,6116,0.5605,0.7189,2464
"Lancaster County, VA",VA,5701,0.6021,0.7172,2462
"York County, NE",NE,5712,0.5907,0.7288,2459
"Copiah County, MS",MS,10060,0.4067,0.6006,2457
"Fulton County, PA",PA,6339,0.5416,0.7156,2457
"Hutchinson County, TX",TX,7000,0.5482,0.6402,2457
"Assumption Parish, LA",LA,8830,0.4442,0.6254,2453
"Gonzales County, TX",TX,7926,0.483,0.6402,2451
"Grant Parish, LA",LA,7440,0.5259,0.6254,2447
"Bond County, IL",IL,6147,0.5561,0.7156,2446
"Mitchell County, GA",GA,7813,0.4884,0.6402,2443
"Avery County, NC",NC,6791,0.5174,0.6941,2439
"Worth County, GA",GA,7739,0.4918,0.6402,2437
"Buffalo County, WI",WI,5720,0.5727,0.7438,2437
"Koochiching County, MN",MN,5872,0.5511,0.7504,2428
"Cibola County, NM",NM,8503,0.4173,0.6842,2428
"Bolivar County, MS",MS,11915,0.3378,0.6006,2417
"Menard County, IL",IL,5228,0.6453,0.7156,2414
"Houston County, TX",TX,7983,0.4723,0.6402,2414
"Tishomingo County, MS",MS,8834,0.454,0.6006,2409
"Richland County, IL",IL,6443,0.5222,0.7156,2407
"La Paz County, AZ",AZ,8959,0.3873,0.6925,2403
"Parke County, IN",IN,6147,0.5589,0.699,2401
"Garrard County, KY",KY,6695,0.5205,0.6892,2401
"Moore County, TX",TX,7157,0.5238,0.6402,2400
"Carroll County, IL",IL,6578,0.5088,0.7156,2395
"Columbia County, AR",AR,8409,0.4331,0.657,2393
"Saluda County, SC",SC,7670,0.458,0.6809,2392
"Vernon County, MO",MO,7754,0.4364,0.7024,2377
"Newton County, IN",IN,5726,0.5921,0.699,2370
"Rusk County, WI",WI,6355,0.5008,0.7438,2367
"Saline County, NE",NE,5143,0.6313,0.7288,2366
"Morgan County, UT",UT,3785,0.8562,0.7288,2362
"Pend Oreille County, WA",WA,5949,0.5366,0.7388,2358
"O'Brien County, IA",IA,5809,0.5567,0.7288,2357
"Hardeman County, TN",TN,9110,0.3762,0.6875,2356
"Presque Isle County, MI",MI,6655,0.4968,0.7106,2349
"Unicoi County, TN",TN,7795,0.4381,0.6875,2348
"Robertson County, TX",TX,6701,0.5472,0.6402,2347
"Anson County, NC",NC,8548,0.395,0.6941,2343
"Hart County, KY",KY,7376,0.4602,0.6892,2339
"Clark County, AR",AR,8121,0.4377,0.657,2335
"Lake County, MN",MN,4942,0.6292,0.7504,2334
"Barbour County, AL",AL,9128,0.4023,0.6351,2332
"Seminole County, OK",OK,8782,0.4042,0.657,2332
"Scott County, MS",MS,9686,0.4008,0.6006,2331
"Wadena County, MN",MN,6081,0.5107,0.7504,2330
"Amelia County, VA",VA,5417,0.5997,0.7172,2330
"Poinsett County, AR",AR,8792,0.4031,0.657,2328
"Union County, IL",IL,6868,0.4725,0.7156,2322
"Vermillion County, IN",IN,6594,0.5034,0.699,2320
"Warren County, NC",NC,8147,0.4081,0.6941,2308
"Wayne County, IL",IL,6866,0.4687,0.7156,2303
"Lee County, VA",VA,8527,0.3762,0.7172,2300
"Pope County, MN",MN,4958,0.6178,0.7504,2299
"Buckingham County, VA",VA,6274,0.5103,0.7172,2296
"DeWitt County, TX",TX,6921,0.518,0.6402,2295
"East Feliciana Parish, LA",LA,6401,0.5729,0.6254,2293
"Gasconade County, MO",MO,6061,0.5378,0.7024,2289
"Ouachita County, AR",AR,8624,0.4033,0.657,2285
"Freestone County, TX",TX,7090,0.5009,0.6402,2274
"Hertford County, NC",NC,8285,0.3945,0.6941,2269
"Clarke County, AL",AL,8423,0.4235,0.6351,2265
"Arenac County, MI",MI,6552,0.4866,0.7106,2265
"Long County, GA",GA,6162,0.5736,0.6402,2263
"Cass County, IA",IA,5844,0.5314,0.7288,2263
"Roosevelt County, NM",NM,7441,0.4442,0.6842,2261
"Moffat County, CO",CO,5390,0.574,0.7305,2260
"Chippewa County, MN",MN,5126,0.587,0.7504,2258
"Johnson County, TN",TN,7298,0.4494,0.6875,2255
"Marion County, SC",SC,12177,0.2716,0.6809,2252
"Bibb County, AL",AL,7704,0.46,0.6351,2250
"Henry County, KY",KY,6147,0.5312,0.6892,2250
"Texas County, OK",OK,6824,0.5016,0.657,2249
"Henry County, AL",AL,7062,0.5006,0.6351,2245
"Emanuel County, GA",GA,8312,0.421,0.6402,2241
"Crawford County, MI",MI,6231,0.5044,0.7106,2233
"Northumberland County, VA",VA,5640,0.5518,0.7172,2232
"Chattooga County, GA",GA,9154,0.3806,0.6402,2230
"Neosho County, KS",KS,6464,0.4815,0.7156,2227
"Adair County, KY",KY,7136,0.4527,0.6892,2227
"Missaukee County, MI",MI,5909,0.5299,0.7106,2225
"Page County, IA",IA,6255,0.4877,0.7288,2223
"Leon County, TX",TX,6741,0.515,0.6402,2222
"Chickasaw County, IA",IA,4997,0.6098,0.7288,2221
"Macon County, MO",MO,6067,0.5213,0.7024,2221
"Barnwell County, SC",SC,8116,0.4019,0.6809,2221
"Polk County, AR",AR,7898,0.4276,0.657,2219
"Alamosa County, CO",CO,6648,0.4569,0.7305,2219
"Gooding County, ID",ID,5702,0.5322,0.7305,2217
"Larue County, KY",KY,5996,0.5365,0.6892,2217
"Osage County, MO",MO,5287,0.5969,0.7024,2217
"Union Parish, LA",LA,8508,0.4135,0.6254,2200
"Chester County, TN",TN,6430,0.4962,0.6875,2193
"Bates County, MO",MO,6158,0.5066,0.7024,2191
"Perquimans County, NC",NC,5614,0.5623,0.6941,2191
"Moniteau County, MO",MO,5729,0.5434,0.7024,2187
"Taylor County, WV",WV,6604,0.4863,0.6809,2187
"Tippah County, MS",MS,8017,0.454,0.6006,2186
"Mitchell County, NC",NC,6587,0.4779,0.6941,2185
"Las Animas County, CO",CO,6513,0.4587,0.7305,2182
"Franklin County, ID",ID,4932,0.6049,0.7305,2179
"Mason County, KY",KY,7131,0.4433,0.6892,2179
"Lewis County, WV",WV,6967,0.4593,0.6809,2179
"Kingfisher County, OK",OK,5684,0.5828,0.657,2177
"Northampton County, NC",NC,7857,0.399,0.6941,2176
"Bristol city, VA",VA,7226,0.4194,0.7172,2174
"Wright County, IA",IA,5353,0.5571,0.7288,2173
"Gogebic County, MI",MI,6989,0.4356,0.7106,2163
"Marshall County, IL",IL,5094,0.5925,0.7156,2160
"Taylor County, FL",FL,7976,0.3928,0.6892,2159
"Benton County, TN",TN,7121,0.44,0.6875,2154
"Jackson County, KS",KS,5013,0.5997,0.7156,2151
"Mason County, IL",IL,5781,0.5193,0.7156,2148
"Ford County, IL",IL,5828,0.5148,0.7156,2147
"Tyler County, TX",TX,7145,0.4694,0.6402,2147
"Franklin County, AR",AR,7048,0.4633,0.657,2145
"Jackson County, TX",TX,6028,0.5558,0.6402,2145
"Kodiak Island Borough, AK",AK,4640,0.6444,0.7156,2140
"Juab County, UT",UT,3862,0.758,0.7288,2133
"Blanco County, TX",TX,5166,0.6448,0.6402,2132
"Pike County, IL",IL,5965,0.499,0.7156,2130
"Lake County, SD",SD,4716,0.6147,0.7338,2127
"Mingo County, WV",WV,9317,0.335,0.6809,2126
"Cherokee County, IA",IA,5045,0.5773,0.7288,2123
"Pike County, MO",MO,6424,0.4698,0.7024,2120
"Nottoway County, VA",VA,5611,0.5268,0.7172,2120
"Dallas County, MO",MO,6768,0.4457,0.7024,2119
"Morehouse Parish, LA",LA,9769,0.3465,0.6254,2117
"Scott County, TN",TN,8755,0.3514,0.6875,2115
"Tattnall County, GA",GA,7630,0.4327,0.6402,2114
"Eastland County, TX",TX,7236,0.4562,0.6402,2113
"Randolph County, AR",AR,7334,0.4381,0.657,2111
"Carbon County, MT",MT,4664,0.6176,0.7321,2109
"Gulf County, FL",FL,5944,0.5136,0.6892,2104
"Lincoln County, WV",WV,7673,0.4019,0.6809,2100
"Wayne County, KY",KY,8074,0.3769,0.6892,2097
"Atchison County, KS",KS,5735,0.5108,0.7156,2096
"Wyoming County, WV",WV,8068,0.3815,0.6809,2096
"Dade County, GA",GA,6083,0.5379,0.6402,2095
"Guthrie County, IA",IA,4600,0.6244,0.7288,2093
"Williamsburg city, VA",VA,5020,0.5811,0.7172,2092
"Berrien County, GA",GA,7045,0.4637,0.6402,2091
"Trigg County, KY",KY,6060,0.5001,0.6892,2089
"Alleghany County, VA",VA,6383,0.456,0.7172,2088
"Van Buren County, AR",AR,7432,0.4274,0.657,2087
"Cass County, IL",IL,5128,0.5684,0.7156,2086
"Custer County, SD",SD,4451,0.6388,0.7338,2086
"Sequatchie County, TN",TN,6194,0.4897,0.6875,2085
"Bertie County, NC",NC,7143,0.4198,0.6941,2081
"San Miguel County, CO",CO,4604,0.6182,0.7305,2079
"Stone County, MS",MS,6705,0.5157,0.6006,2077
"Fergus County, MT",MT,5303,0.5348,0.7321,2076
"Boundary County, ID",ID,5046,0.5628,0.7305,2075
"Bourbon County, KS",KS,5840,0.4966,0.7156,2075
"Brantley County, GA",GA,6599,0.4909,0.6402,2074
"McLean County, ND",ND,4377,0.6474,0.7321,2074
"Valley County, ID",ID,4318,0.6558,0.7305,2069
"Haywood County, TN",TN,7167,0.4195,0.6875,2067
"Pike County, IN",IN,5021,0.5885,0.699,2065
"Livingston County, MO",MO,5608,0.524,0.7024,2064
"Massac County, IL",IL,5457,0.5277,0.7156,2061
"Custer County, MT",MT,5038,0.5586,0.7321,2060
"Fentress County, TN",TN,7831,0.3826,0.6875,2060
"Middlesex County, VA",VA,4772,0.6019,0.7172,2060
"Russell County, KY",KY,7562,0.3949,0.6892,2058
"Hill County, MT",MT,6206,0.4528,0.7321,2057
"Ramsey County, ND",ND,5410,0.5191,0.7321,2056
"Rio Grande County, CO",CO,5133,0.5479,0.7305,2055
"Calhoun County, SC",SC,6179,0.4885,0.6809,2055
"Jefferson County, FL",FL,5751,0.5178,0.6892,2052
"Grenada County, MS",MS,8464,0.4028,0.6006,2048
"Callahan County, TX",TX,5239,0.6098,0.6402,2045
"Marengo County, AL",AL,7898,0.4073,0.6351,2043
"Lincoln County, WA",WA,4820,0.5722,0.7388,2038
"Marion County, AR",AR,7664,0.404,0.657,2034
"Fremont County, ID",ID,4654,0.5983,0.7305,2034
"Shelby County, IA",IA,4882,0.5716,0.7288,2034
"New Madrid County, MO",MO,6695,0.4325,0.7024,2034
"Barnes County, ND",ND,4908,0.5655,0.7321,2032
"Torrance County, NM",NM,6052,0.4906,0.6842,2031
"Wetzel County, WV",WV,6113,0.4863,0.6809,2024
"Lyon County, IA",IA,4479,0.6188,0.7288,2020
"Brunswick County, VA",VA,6477,0.4347,0.7172,2019
"Bethel Census Area, AK",AK,4828,0.5839,0.7156,2017
"Chowan County, NC",NC,6134,0.4735,0.6941,2016
"Greene County, NC",NC,6912,0.4202,0.6941,2016
"Wright County, MO",MO,7187,0.3987,0.7024,2012
"Crisp County, GA",GA,7908,0.3968,0.6402,2009
"Mitchell County, IA",IA,4597,0.5996,0.7288,2009
"Madison County, AR",AR,6463,0.4727,0.657,2007
"Bell County, KY",KY,9939,0.293,0.6892,2007
"Pendleton County, KY",KY,5442,0.5349,0.6892,2006
"Monroe County, OH",OH,5651,0.5023,0.704,1998
"Deaf Smith County, TX",TX,6051,0.5146,0.6402,1994
"Millard County, UT",UT,4357,0.628,0.7288,1994
"Northampton County, VA",VA,5437,0.5112,0.7172,1993
"Oglethorpe County, GA",GA,5411,0.5749,0.6402,1991
"Morgan County, OH",OH,5713,0.4942,0.704,1988
"Newton County, MS",MS,7713,0.4287,0.6006,1986
"Jackson County, MN",MN,4387,0.6028,0.7504,1985
"Richland Parish, LA",LA,7240,0.4382,0.6254,1984
"Hancock County, IA",IA,4673,0.5817,0.7288,1981
"Pawnee County, OK",OK,6108,0.4924,0.657,1976
"Letcher County, KY",KY,8463,0.3386,0.6892,1975
"Leflore County, MS",MS,10203,0.3222,0.6006,1975
"Arkansas County, AR",AR,6705,0.4481,0.657,1974
"Winston County, MS",MS,7141,0.46,0.6006,1973
"Hempstead County, AR",AR,7479,0.4014,0.657,1972
"Crockett County, TN",TN,5508,0.5209,0.6875,1972
"Sanders County, MT",MT,5451,0.4933,0.7321,1969
"Cottonwood County, MN",MN,4630,0.5662,0.7504,1967
"Shoshone County, ID",ID,5763,0.4663,0.7305,1963
"Cannon County, TN",TN,5776,0.4944,0.6875,1963
"Marion County, MS",MS,9122,0.3573,0.6006,1957
"Clay County, SD",SD,5547,0.4802,0.7338,1955
"Washington County, GA",GA,7330,0.4153,0.6402,1949
"McIntosh County, OK",OK,7784,0.3787,0.657,1937
"Mackinac County, MI",MI,5199,0.5227,0.7106,1931
"Madison County, FL",FL,6976,0.4015,0.6892,1930
"Jasper County, GA",GA,5965,0.5032,0.6402,1921
"Stewart County, TN",TN,5323,0.5237,0.6875,1917
"Clay County, IL",IL,5311,0.504,0.7156,1915
"Falls County, TX",TX,6344,0.4714,0.6402,1915
"Walsh County, ND",ND,4400,0.5936,0.7321,1912
"Washington County, AL",AL,5963,0.5046,0.6351,1911
"Pecos County, TX",TX,5238,0.57,0.6402,1911
"Cross County, AR",AR,6483,0.4478,0.657,1907
"Swain County, NC",NC,6013,0.4567,0.6941,1906
"Allen Parish, LA",LA,7854,0.3879,0.6254,1905
"Box Butte County, NE",NE,4505,0.5793,0.7288,1902
"Camden County, NC",NC,4011,0.6831,0.6941,1902
"Holmes County, FL",FL,7011,0.3934,0.6892,1901
"Pulaski County, IN",IN,4950,0.5494,0.699,1901
"Rockcastle County, KY",KY,6534,0.4217,0.6892,1899
"Frio County, TX",TX,5437,0.5457,0.6402,1899
"Louisa County, IA",IA,4237,0.6142,0.7288,1897
"Marshall County, OK",OK,5982,0.4826,0.657,1897
"Leake County, MS",MS,7414,0.4253,0.6006,1894
"Towns County, GA",GA,5924,0.498,0.6402,1889
"Jones County, TX",TX,5915,0.4985,0.6402,1888
"Scurry County, TX",TX,5876,0.5017,0.6402,1887
"Pamlico County, NC",NC,5456,0.4981,0.6941,1886
"Harrison County, OH",OH,5948,0.4504,0.704,1886
"Hampton County, SC",SC,7225,0.3822,0.6809,1880
"Marlboro County, SC",SC,9789,0.282,0.6809,1880
"Winnebago County, IA",IA,4641,0.5545,0.7288,1876
"Luna County, NM",NM,9223,0.2965,0.6842,1871
"Franklin County, FL",FL,4949,0.5473,0.6892,1867
"Dent County, MO",MO,5618,0.4731,0.7024,1867
"Watonwan County, MN",MN,4227,0.5878,0.7504,1865
"White County, IL",IL,5672,0.4582,0.7156,1860
"Marion County, KS",KS,4750,0.547,0.7156,1859
"Clay County, MS",MS,7805,0.3962,0.6006,1857
"Meigs County, TN",TN,5235,0.5148,0.6875,1853
"Goshen County, WY",WY,5200,0.4953,0.7189,1852
"Iron County, MI",MI,5547,0.4693,0.7106,1850
"Sac County, IA",IA,4302,0.5895,0.7288,1848
"Radford city, VA",VA,5540,0.4645,0.7172,1846
"Lawrence County, IL",IL,5472,0.471,0.7156,1844
"Grand County, UT",UT,4554,0.5534,0.7288,1837
"Yazoo County, MS",MS,8767,0.3487,0.6006,1836
"Trinity County, CA",CA,5585,0.458,0.7172,1835
"Grayson County, VA",VA,6337,0.4032,0.7172,1832
"Dodge County, GA",GA,6881,0.4155,0.6402,1830
"Butler County, AL",AL,7597,0.378,0.6351,1824
"Richland County, MT",MT,4422,0.5634,0.7321,1824
"Butte County, SD",SD,4306,0.5773,0.7338,1824
"Colfax County, NE",NE,3707,0.6744,0.7288,1822
"Hamilton County, NE",NE,3628,0.6889,0.7288,1822
"Yellow Medicine County, MN",MN,4070,0.5962,0.7504,1821
"Allen County, KS",KS,5011,0.5076,0.7156,1820
"Morrow County, OR",OR,4326,0.574,0.7321,1818
"Custer County, NE",NE,4502,0.5537,0.7288,1817
"Sharp County, AR",AR,6856,0.4016,0.657,1809
"Union County, IA",IA,5116,0.4851,0.7288,1809
"Union County, KY",KY,5198,0.5039,0.6892,1805
"St. Francis County, AR",AR,7783,0.3524,0.657,1802
"Cook County, GA",GA,6304,0.4462,0.6402,1801
"Owyhee County, ID",ID,4339,0.568,0.7305,1800
"Barbour County, WV",WV,6152,0.4297,0.6809,1800
"Clarke County, IA",IA,4071,0.6061,0.7288,1798
