county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_59,865_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Fayette County, WV",WV,15948,0.4476,0.6809,4860
"Iowa County, WI",WI,10118,0.6454,0.7438,4857
"Jasper County, SC",SC,13118,0.5416,0.6809,4838
"Lyon County, KS",KS,13481,0.5007,0.7156,4830
"Dyer County, TN",TN,14769,0.4754,0.6875,4827
"Lake County, MT",MT,12576,0.5242,0.7321,4826
"Jefferson County, IN",IN,12790,0.5383,0.699,4812
"Matagorda County, TX",TX,15439,0.4834,0.6402,4778
"Baldwin County, GA",GA,16582,0.45,0.6402,4777
"Antrim County, MI",MI,11100,0.6049,0.7106,4771
"Mille Lacs County, MN",MN,10672,0.5955,0.7504,4769
"Los Alamos County, NM",NM,8247,0.8451,0.6842,4768
"Colleton County, SC",SC,16408,0.4268,0.6809,4768
"Brown County, MN",MN,11027,0.576,0.7504,4766
"Bremer County, IA",IA,9716,0.6712,0.7288,4753
"Park County, CO",CO,8988,0.7236,0.7305,4751
"Miami County, IN",IN,13318,0.5095,0.699,4743
"Fannin County, TX",TX,12767,0.5799,0.6402,4740
"Colquitt County, GA",GA,16803,0.4398,0.6402,4731
"Greene County, IN",IN,13107,0.5154,0.699,4722
"Clinton County, IN",IN,12496,0.5401,0.699,4718
"Pottawatomie County, KS",KS,9381,0.7024,0.7156,4715
"Howell County, MO",MO,15965,0.4202,0.7024,4712
"Jackson County, FL",FL,17276,0.3956,0.6892,4710
"Chaffee County, CO",CO,9863,0.6534,0.7305,4708
"Lawrence County, AL",AL,13627,0.5433,0.6351,4702
"Woodford County, KY",KY,10814,0.6307,0.6892,4701
"Beauregard Parish, LA",LA,13747,0.5468,0.6254,4701
"Hill County, TX",TX,13767,0.5333,0.6402,4700
"Boone County, AR",AR,15363,0.4653,0.657,4697
"Adams County, IN",IN,12401,0.5412,0.699,4691
"Hendry County, FL",FL,14130,0.4814,0.6892,4688
"Dickinson County, MI",MI,11905,0.5535,0.7106,4683
"Posey County, IN",IN,10533,0.6333,0.699,4663
"Daviess County, IN",IN,11814,0.5642,0.699,4659
"Mecklenburg County, VA",VA,13569,0.4787,0.7172,4658
"Meade County, KY",KY,11007,0.6136,0.6892,4654
"Calloway County, KY",KY,15239,0.4412,0.6892,4634
"Vilas County, WI",WI,11147,0.5588,0.7438,4633
"Wells County, IN",IN,11546,0.5732,0.699,4626
"Vance County, NC",NC,16147,0.4124,0.6941,4622
"Ripley County, IN",IN,11531,0.5712,0.699,4604
"Brown County, TX",TX,14972,0.4799,0.6402,4600
"Van Wert County, OH",OH,11549,0.5655,0.704,4598
"Juneau County, WI",WI,10955,0.563,0.7438,4587
"Ellis County, KS",KS,12251,0.5232,0.7156,4586
"Cowley County, KS",KS,13387,0.4783,0.7156,4582
"Independence County, AR",AR,14638,0.476,0.657,4578
"Wyoming County, PA",PA,10912,0.5856,0.7156,4572
"Union County, AR",AR,15002,0.4637,0.657,4570
"Delta County, CO",CO,12959,0.4821,0.7305,4563
"Richmond County, NC",NC,17026,0.3859,0.6941,4560
"Barry County, MO",MO,13336,0.4845,0.7024,4539
"Laclede County, MO",MO,14558,0.4435,0.7024,4536
"Howard County, TX",TX,12191,0.5812,0.6402,4536
"Tift County, GA",GA,15640,0.4527,0.6402,4533
"Franklin County, ME",ME,12675,0.4866,0.7338,4526
"Mississippi County, AR",AR,15452,0.4449,0.657,4516
"Lincoln County, OK",OK,13141,0.522,0.657,4507
"Hancock County, WV",WV,12824,0.5157,0.6809,4503
"Jennings County, IN",IN,10944,0.5875,0.699,4495
"Saunders County, NE",NE,8899,0.693,0.7288,4495
"Preston County, WV",WV,12809,0.5151,0.6809,4492
"West Baton Rouge Parish, LA",LA,10974,0.6531,0.6254,4482
"Lewis County, NY",NY,11110,0.565,0.7139,4482
"Austin County, TX",TX,12128,0.5766,0.6402,4477
"Hardin County, OH",OH,11724,0.5417,0.704,4471
"Aransas County, TX",TX,12478,0.5584,0.6402,4461
"Iroquois County, IL",IL,11443,0.5442,0.7156,4456
"Montezuma County, CO",CO,11269,0.541,0.7305,4453
