county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_37,415_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Los Angeles County, CA",CA,3416449,0.782,0.7172,1916153
"Cook County, IL",IL,2100230,0.7637,0.7156,1147748
"Maricopa County, AZ",AZ,1730696,0.8194,0.6925,982114
"Harris County, TX",TX,1757164,0.7559,0.6402,850324
"San Diego County, CA",CA,1171278,0.8334,0.7172,700127
"Orange County, CA",CA,1082960,0.8471,0.7172,657974
"King County, WA",WA,941054,0.8586,0.7388,596921
"Kings County, NY",NY,1009927,0.7286,0.7139,525278
"Dallas County, TX",TX,982737,0.7803,0.6402,490911
"Miami-Dade County, FL",FL,975411,0.7282,0.6892,489565
"Queens County, NY",NY,841003,0.7773,0.7139,466687
"Riverside County, CA",CA,775335,0.8131,0.7172,452139
"Clark County, NV",NV,862518,0.7682,0.6809,451128
"New York County, NY",NY,778281,0.7559,0.7139,419988
"Santa Clara County, CA",CA,659353,0.8858,0.7172,418866
"Tarrant County, TX",TX,782419,0.8053,0.6402,403369
"Middlesex County, MA",MA,634215,0.8533,0.7338,397102
"Broward County, FL",FL,753956,0.763,0.6892,396452
"San Bernardino County, CA",CA,674915,0.7932,0.7172,383962
"Alameda County, CA",CA,598246,0.844,0.7172,362108
"Bexar County, TX",TX,750939,0.7494,0.6402,360298
"Wayne County, MI",MI,700591,0.6762,0.7106,336628
"Hennepin County, MN",MN,539493,0.825,0.7504,333995
"Sacramento County, CA",CA,571057,0.8074,0.7172,330693
"Palm Beach County, FL",FL,605430,0.7795,0.6892,325275
"Philadelphia County, PA",PA,679428,0.6668,0.7156,324214
"Suffolk County, NY",NY,512565,0.8728,0.7139,319373
"Travis County, TX",TX,583747,0.8357,0.6402,312308
"Hillsborough County, FL",FL,583192,0.7741,0.6892,311126
"Oakland County, MI",MI,530460,0.8254,0.7106,311119
"Franklin County, OH",OH,553099,0.7713,0.704,300321
"Allegheny County, PA",PA,545802,0.7581,0.7156,296100
"Nassau County, NY",NY,458166,0.8879,0.7139,290422
"Orange County, FL",FL,527776,0.7799,0.6892,283682
"Cuyahoga County, OH",OH,554551,0.6998,0.704,273190
"Wake County, NC",NC,460175,0.847,0.6941,270537
"Fairfax County, VA",VA,414101,0.9089,0.7172,269928
"Mecklenburg County, NC",NC,466527,0.8162,0.6941,264306
"Salt Lake County, UT",UT,426245,0.8478,0.7288,263353
"Contra Costa County, CA",CA,414417,0.8634,0.7172,256622
"Montgomery County, MD",MD,389210,0.8735,0.7057,239910
"Collin County, TX",TX,416646,0.8806,0.6402,234883
"Fulton County, GA",GA,462481,0.7903,0.6402,233983
"St. Louis County, MO",MO,413849,0.7934,0.7024,230639
"Capitol Planning Region, CT",CT,391113,0.798,0.7222,225415
"Bronx County, NY",NY,534100,0.589,0.7139,224569
"Pima County, AZ",AZ,437827,0.7353,0.6925,222927
"Pinellas County, FL",FL,428473,0.7531,0.6892,222380
"Westchester County, NY",NY,372883,0.8304,0.7139,221053
"Pierce County, WA",WA,351330,0.8476,0.7388,219997
"Bergen County, NJ",NJ,355127,0.8574,0.7189,218886
"DuPage County, IL",IL,350758,0.8637,0.7156,216797
"Erie County, NY",NY,409665,0.7407,0.7139,216627
"Duval County, FL",FL,415128,0.7483,0.6892,214085
"San Francisco County, CA",CA,363970,0.8169,0.7172,213244
"Honolulu County, HI",HI,338868,0.8465,0.7321,210016
"Milwaukee County, WI",WI,392399,0.7099,0.7438,207195
"Prince George's County, MD",MD,347744,0.8413,0.7057,206468
"Montgomery County, PA",PA,335505,0.8548,0.7156,205223
"Marion County, IN",IN,400432,0.7332,0.699,205213
"Multnomah County, OR",OR,349803,0.791,0.7321,202572
"Denton County, TX",TX,360392,0.8728,0.6402,201375
"Snohomish County, WA",WA,316212,0.861,0.7388,201156
"Denver County, CO",CO,335428,0.8114,0.7305,198806
"Macomb County, MI",MI,358668,0.7794,0.7106,198636
"Worcester County, MA",MA,335826,0.8025,0.7338,197767
"Baltimore County, MD",MD,332801,0.8126,0.7057,190844
"Middlesex County, NJ",NJ,307782,0.8473,0.7189,187487
"Essex County, MA",MA,313147,0.8039,0.7338,184722
"Hamilton County, OH",OH,354739,0.7356,0.704,183716
"District of Columbia, DC",DC,324491,0.799,0.7007,181664
"Suffolk County, MA",MA,327167,0.7499,0.7338,180041
"Norfolk County, MA",MA,283368,0.8557,0.7338,177936
"El Paso County, CO",CO,290190,0.8324,0.7305,176462
"Shelby County, TN",TN,362741,0.706,0.6875,176067
"Davidson County, TN",TN,324907,0.7852,0.6875,175387
"Lee County, FL",FL,327803,0.7712,0.6892,174236
"Fresno County, CA",CA,324702,0.7395,0.7172,172213
"Gwinnett County, GA",GA,327043,0.819,0.6402,171477
"Ventura County, CA",CA,280360,0.8509,0.7172,171099
"Essex County, NJ",NJ,319788,0.7442,0.7189,171085
"Monroe County, NY",NY,318428,0.7522,0.7139,171005
"San Mateo County, CA",CA,264419,0.8915,0.7172,169057
"Jefferson County, KY",KY,331554,0.7362,0.6892,168235
"Hudson County, NJ",NJ,299682,0.7787,0.7189,167771
"Fort Bend County, TX",TX,292713,0.8663,0.6402,162333
"Cobb County, GA",GA,295714,0.8493,0.6402,160783
"Arapahoe County, CO",CO,257232,0.8507,0.7305,159859
"Jackson County, MO",MO,306798,0.7345,0.7024,158283
"Oklahoma County, OK",OK,328101,0.7276,0.657,156837
"Lake County, IL",IL,258455,0.8446,0.7156,156212
"Johnson County, KS",KS,249531,0.8721,0.7156,155719
"Monmouth County, NJ",NJ,251712,0.8538,0.7189,154497
"Bucks County, PA",PA,249187,0.8647,0.7156,154188
"Jefferson County, CO",CO,241735,0.8668,0.7305,153074
"Dane County, WI",WI,251529,0.8137,0.7438,152242
"Will County, IL",IL,244273,0.8596,0.7156,150265
"Kern County, CA",CA,284931,0.7276,0.7172,148689
"Washington County, OR",OR,235406,0.8583,0.7321,147925
"Polk County, FL",FL,289425,0.7397,0.6892,147553
"Kent County, MI",MI,256648,0.8061,0.7106,147012
"Western Connecticut Planning Region, CT",CT,235379,0.855,0.7222,145350
"San Joaquin County, CA",CA,245250,0.81,0.7172,142477
"Williamson County, TX",TX,252323,0.8817,0.6402,142431
"DeKalb County, GA",GA,287239,0.7745,0.6402,142417
"Ocean County, NJ",NJ,243843,0.8075,0.7189,141548
"Bernalillo County, NM",NM,285495,0.7238,0.6842,141378
"Anne Arundel County, MD",MD,224748,0.8898,0.7057,141123
"Providence County, RI",RI,259210,0.7527,0.7139,139288
"Brevard County, FL",FL,257695,0.7702,0.6892,136798
"Douglas County, NE",NE,238430,0.7829,0.7288,136036
"Tulsa County, OK",OK,272422,0.7412,0.657,132658
"Ramsey County, MN",MN,221327,0.7922,0.7504,131579
"Bristol County, MA",MA,233825,0.7661,0.7338,131449
"Montgomery County, TX",TX,247541,0.8285,0.6402,131291
"South Central Connecticut Planning Region, CT",CT,230673,0.7819,0.7222,130254
"El Paso County, TX",TX,299637,0.6763,0.6402,129728
"Chester County, PA",PA,204774,0.8794,0.7156,128860
"New Castle County, DE",DE,224173,0.8148,0.704,128583
"Utah County, UT",UT,203018,0.866,0.7288,128133
"Plymouth County, MA",MA,203141,0.843,0.7338,125664
"Lancaster County, PA",PA,212748,0.8251,0.7156,125619
"Spokane County, WA",WA,218395,0.7772,0.7388,125396
"Volusia County, FL",FL,241881,0.7487,0.6892,124806
"Ada County, ID",ID,202543,0.8426,0.7305,124667
"Delaware County, PA",PA,216946,0.798,0.7156,123886
