county,state,households_SOURCE_Census_ACS_5yr_B19001,"share_income_above_37,415_DERIVED_interpolated",est_share_fico_ge670_state_DERIVED_ESTIMATE,addressable_households_DERIVED (hh x income share x credit share)
"Morris County, NJ",NJ,193245,0.8871,0.7189,123244
"Clark County, WA",WA,196017,0.8489,0.7388,122932
"Union County, NJ",NJ,203277,0.835,0.7189,122029
"Baltimore city, MD",MD,255668,0.675,0.7057,121779
"Jefferson County, AL",AL,269883,0.7097,0.6351,121653
"Pasco County, FL",FL,236163,0.7457,0.6892,121372
"Polk County, IA",IA,205358,0.8076,0.7288,120875
"Summit County, OH",OH,231267,0.7398,0.704,120447
"Montgomery County, OH",OH,231319,0.7234,0.704,117812
"Sarasota County, FL",FL,212204,0.7983,0.6892,116755
"Greenville County, SC",SC,220565,0.7753,0.6809,116433
"Adams County, CO",CO,188730,0.8378,0.7305,115501
"Sonoma County, CA",CA,190998,0.8425,0.7172,115406
"Camden County, NJ",NJ,202540,0.7795,0.7189,113507
"Dakota County, MN",MN,174362,0.8626,0.7504,112867
"Kane County, IL",IL,184706,0.8528,0.7156,112721
"Guilford County, NC",NC,219718,0.7371,0.6941,112408
"Burlington County, NJ",NJ,177222,0.8623,0.7189,109861
"Sedgwick County, KS",KS,206768,0.7418,0.7156,109765
"Washoe County, NV",NV,199296,0.806,0.6809,109376
"Hidalgo County, TX",TX,270210,0.631,0.6402,109164
"Virginia Beach city, VA",VA,179851,0.8412,0.7172,108501
"Waukesha County, WI",WI,168658,0.8585,0.7438,107700
"Hillsborough County, NH",NH,168740,0.8528,0.7405,106561
"Onondaga County, NY",NY,197760,0.7518,0.7139,106136
"Seminole County, FL",FL,187248,0.82,0.6892,105817
"York County, PA",PA,181583,0.8102,0.7156,105279
"Knox County, TN",TN,201146,0.7576,0.6875,104769
"Prince William County, VA",VA,156798,0.9064,0.7172,101928
"Clackamas County, OR",OR,163845,0.8459,0.7321,101464
"Naugatuck Valley Planning Region, CT",CT,180116,0.7794,0.7222,101384
"Lake County, IN",IN,195130,0.7415,0.699,101138
"Stanislaus County, CA",CA,177874,0.7914,0.7172,100959
"Passaic County, NJ",NJ,178936,0.778,0.7189,100085
"St. Charles County, MO",MO,161311,0.8743,0.7024,99064
"Richmond County, NY",NY,170777,0.7988,0.7139,97388
"Hampden County, MA",MA,184471,0.7157,0.7338,96880
"Placer County, CA",CA,157954,0.8524,0.7172,96568
"Charleston County, SC",SC,178975,0.7909,0.6809,96378
"Manatee County, FL",FL,176747,0.7839,0.6892,95493
"Loudoun County, VA",VA,143032,0.9299,0.7172,95391
"Solano County, CA",CA,157512,0.8323,0.7172,94027
"Douglas County, CO",CO,139960,0.9174,0.7305,93800
"Collier County, FL",FL,165875,0.8089,0.6892,92480
"Larimer County, CO",CO,154232,0.8141,0.7305,91723
"Berks County, PA",PA,163236,0.7708,0.7156,90036
"Pinal County, AZ",AZ,161917,0.8012,0.6925,89841
"Lucas County, OH",OH,183243,0.6945,0.704,89592
"Anoka County, MN",MN,137432,0.8677,0.7504,89480
"Santa Barbara County, CA",CA,149608,0.8101,0.7172,86924
"Lane County, OR",OR,160445,0.74,0.7321,86924
"Lake County, FL",FL,164497,0.7648,0.6892,86701
"Chesterfield County, VA",VA,140155,0.8591,0.7172,86360
"Hamilton County, IN",IN,137252,0.8978,0.699,86136
"Genesee County, MI",MI,167334,0.7128,0.7106,84761
"Washtenaw County, MI",MI,150550,0.7874,0.7106,84232
"Somerset County, NJ",NJ,130802,0.8891,0.7189,83610
"Mercer County, NJ",NJ,144114,0.8068,0.7189,83591
"Westmoreland County, PA",PA,154979,0.7504,0.7156,83220
"Madison County, AL",AL,165031,0.7911,0.6351,82913
"Allen County, IN",IN,156570,0.756,0.699,82739
"Rockingham County, NH",NH,127570,0.8693,0.7405,82120
"Boulder County, CO",CO,137008,0.813,0.7305,81374
"Richland County, SC",SC,167961,0.7108,0.6809,81285
"Hamilton County, TN",TN,154181,0.7664,0.6875,81234
"Stark County, OH",OH,155955,0.7372,0.704,80937
"Henrico County, VA",VA,137365,0.8205,0.7172,80833
"Forsyth County, NC",NC,159925,0.7272,0.6941,80722
"Lehigh County, PA",PA,144386,0.7806,0.7156,80656
"Butler County, OH",OH,146822,0.7798,0.704,80603
"Marion County, FL",FL,164881,0.7032,0.6892,79904
"Cumberland County, ME",ME,132168,0.8233,0.7338,79845
"Horry County, SC",SC,158779,0.7364,0.6809,79619
"Orange County, NY",NY,138608,0.8045,0.7139,79608
"Monterey County, CA",CA,132489,0.8302,0.7172,78886
"Durham County, NC",NC,141847,0.7986,0.6941,78625
"Pulaski County, AR",AR,172409,0.6921,0.657,78393
"Jefferson Parish, LA",LA,177003,0.7028,0.6254,77794
"Tulare County, CA",CA,143195,0.7569,0.7172,77730
"Howard County, MD",MD,121065,0.9052,0.7057,77335
"East Baton Rouge Parish, LA",LA,177295,0.6902,0.6254,76525
"Albany County, NY",NY,134703,0.7865,0.7139,75636
"Weld County, CO",CO,124287,0.8325,0.7305,75583
"Lancaster County, NE",NE,134126,0.7687,0.7288,75139
"Rutherford County, TN",TN,129431,0.8437,0.6875,75078
"Osceola County, FL",FL,142794,0.7626,0.6892,75046
"Davis County, UT",UT,115919,0.8839,0.7288,74676
"Thurston County, WA",WA,118899,0.8374,0.7388,73562
"McHenry County, IL",IL,117594,0.8613,0.7156,72475
"Marion County, OR",OR,126870,0.7799,0.7321,72442
"Brazoria County, TX",TX,133898,0.8399,0.6402,71995
"St. Lucie County, FL",FL,137453,0.7582,0.6892,71829
"Northampton County, PA",PA,122624,0.8142,0.7156,71450
"Arlington County, VA",VA,112027,0.8802,0.7172,70718
"Fayette County, KY",KY,139715,0.7327,0.6892,70555
"Galveston County, TX",TX,140660,0.7776,0.6402,70027
"Washington County, MN",MN,105577,0.8829,0.7504,69952
"Mobile County, AL",AL,161665,0.6796,0.6351,69777
"St. Johns County, FL",FL,115794,0.8624,0.6892,68826
"Dutchess County, NY",NY,116275,0.8273,0.7139,68675
"Kitsap County, WA",WA,108537,0.8563,0.7388,68662
"Luzerne County, PA",PA,135055,0.7072,0.7156,68345
"Gloucester County, NJ",NJ,112545,0.8431,0.7189,68213
"Lorain County, OH",OH,127544,0.7491,0.704,67266
"Bell County, TX",TX,142305,0.7379,0.6402,67226
"Greater Bridgeport Planning Region, CT",CT,119633,0.7767,0.7222,67105
"St. Louis city, MO",MO,144891,0.6555,0.7024,66706
"Dauphin County, PA",PA,121358,0.7681,0.7156,66704
"Southeastern Connecticut Planning Region, CT",CT,115768,0.7907,0.7222,66111
"Anchorage Municipality, AK",AK,108597,0.849,0.7156,65975
"Spartanburg County, SC",SC,131672,0.7336,0.6809,65771
"Brown County, WI",WI,110933,0.7944,0.7438,65550
"Ottawa County, MI",MI,111322,0.8283,0.7106,65526
"Escambia County, FL",FL,129027,0.7352,0.6892,65374
"Lexington County, SC",SC,121964,0.7853,0.6809,65218
"Frederick County, MD",MD,104635,0.8794,0.7057,64939
"Greene County, MO",MO,130951,0.701,0.7024,64479
"Marin County, CA",CA,103018,0.8688,0.7172,64194
"Cumberland County, NC",NC,129758,0.709,0.6941,63853
"San Luis Obispo County, CA",CA,109503,0.8121,0.7172,63776
"York County, SC",SC,113785,0.8198,0.6809,63511
"Cumberland County, PA",PA,106427,0.8319,0.7156,63356
"Barnstable County, MA",MA,105777,0.8137,0.7338,63161
"Benton County, AR",AR,111919,0.8426,0.657,61957
"Orleans Parish, LA",LA,155821,0.6335,0.6254,61739
"Saratoga County, NY",NY,101911,0.8422,0.7139,61275
"Harford County, MD",MD,101795,0.8516,0.7057,61177
"Nueces County, TX",TX,131160,0.7219,0.6402,60619
"Rockland County, NY",NY,103879,0.8172,0.7139,60606
"Madison County, IL",IL,110134,0.7681,0.7156,60537
"Atlantic County, NJ",NJ,109557,0.764,0.7189,60175
"Winnebago County, IL",IL,116014,0.7192,0.7156,59711
"Sussex County, DE",DE,106441,0.796,0.704,59646
"Cleveland County, OK",OK,116799,0.7755,0.657,59512
"Leon County, FL",FL,122597,0.7013,0.6892,59254
"Ingham County, MI",MI,117096,0.7119,0.7106,59232
"Clay County, MO",MO,102171,0.8199,0.7024,58843
"Chatham County, GA",GA,120383,0.7541,0.6402,58120
"Weber County, UT",UT,94125,0.8415,0.7288,57729
"Santa Cruz County, CA",CA,96898,0.8297,0.7172,57659
"Yavapai County, AZ",AZ,111157,0.7453,0.6925,57367
"Williamson County, TN",TN,92214,0.9026,0.6875,57225
"Lubbock County, TX",TX,126225,0.7037,0.6402,56865
"Kalamazoo County, MI",MI,107110,0.7461,0.7106,56791
"Lake County, OH",OH,101144,0.7937,0.704,56516
"Warren County, OH",OH,92052,0.8695,0.704,56347
"Cameron County, TX",TX,138433,0.6301,0.6402,55847
"New Hanover County, NC",NC,104856,0.7667,0.6941,55804
"Cherokee County, GA",GA,101514,0.8577,0.6402,55743
"Erie County, PA",PA,110587,0.6997,0.7156,55374
"Chesapeake city, VA",VA,93626,0.8229,0.7172,55259
"Linn County, IA",IA,95600,0.7893,0.7288,54992
"St. Joseph County, IN",IN,107252,0.7317,0.699,54854
"Alachua County, FL",FL,116786,0.6803,0.6892,54753
"Whatcom County, WA",WA,94021,0.7861,0.7388,54604
"York County, ME",ME,91413,0.8133,0.7338,54556
"Buncombe County, NC",NC,101855,0.7597,0.6941,53709
"St. Clair County, IL",IL,100846,0.7435,0.7156,53658
"Richmond city, VA",VA,104321,0.7049,0.7172,52738
"Delaware County, OH",OH,82287,0.897,0.704,51963
"Deschutes County, OR",OR,84933,0.8326,0.7321,51768
"Berkeley County, SC",SC,93711,0.8112,0.6809,51758
"Forsyth County, GA",GA,89030,0.9067,0.6402,51678
"St. Tammany Parish, LA",LA,105082,0.786,0.6254,51656
"Canyon County, ID",ID,86069,0.8116,0.7305,51029
"Hays County, TX",TX,99849,0.7956,0.6402,50854
"Jackson County, OR",OR,92035,0.7536,0.7321,50779
"Jefferson County, MO",MO,88309,0.8091,0.7024,50185
"Union County, NC",NC,84237,0.851,0.6941,49755
"Oneida County, NY",NY,95220,0.7309,0.7139,49682
"Norfolk city, VA",VA,94965,0.728,0.7172,49587
"Minnehaha County, SD",SD,84814,0.795,0.7338,49476
"Washington County, PA",PA,88505,0.7763,0.7156,49163
"Yakima County, WA",WA,87708,0.7571,0.7388,49059
"Baldwin County, AL",AL,98574,0.7732,0.6351,48408
"Okaloosa County, FL",FL,85411,0.8223,0.6892,48407
"Outagamie County, WI",WI,78382,0.8278,0.7438,48260
"Niagara County, NY",NY,91884,0.7335,0.7139,48114
"Clayton County, GA",GA,105941,0.7092,0.6402,48101
"Montgomery County, TN",TN,87759,0.796,0.6875,48029
"St. Louis County, MN",MN,87115,0.7338,0.7504,47970
"Clermont County, OH",OH,84955,0.7994,0.704,47810
"Clay County, FL",FL,83707,0.8274,0.6892,47732
"Mohave County, AZ",AZ,101973,0.6754,0.6925,47694
"Washington County, AR",AR,97184,0.7452,0.657,47578
"Cabarrus County, NC",NC,84246,0.8128,0.6941,47530
"Alexandria city, VA",VA,76096,0.8701,0.7172,47484
"Cass County, ND",ND,83945,0.7692,0.7321,47270
"Racine County, WI",WI,80406,0.7889,0.7438,47179
"Johnston County, NC",NC,85591,0.794,0.6941,47173
"Livingston County, MI",MI,76445,0.8677,0.7106,47133
"Charlotte County, FL",FL,90542,0.7546,0.6892,47087
"Henry County, GA",GA,86704,0.8451,0.6402,46907
"Gaston County, NC",NC,93576,0.7221,0.6941,46899
"Sarpy County, NE",NE,74097,0.864,0.7288,46660
"Benton County, WA",WA,78046,0.8076,0.7388,46566
"Shelby County, AL",AL,86866,0.8431,0.6351,46513
"Butler County, PA",PA,80824,0.799,0.7156,46210
"Sangamon County, IL",IL,84762,0.7598,0.7156,46085
"Beaufort County, SC",SC,82333,0.8217,0.6809,46067
"Mahoning County, OH",OH,98065,0.667,0.704,46045
"El Dorado County, CA",CA,76185,0.8385,0.7172,45814
"Lackawanna County, PA",PA,88263,0.7109,0.7156,44904
"Lower Connecticut River Valley Planning Region, CT",CT,74068,0.8393,0.7222,44894
"Lafayette Parish, LA",LA,100903,0.7058,0.6254,44538
"McLennan County, TX",TX,97338,0.7117,0.6402,44353
"Sumner County, TN",TN,78582,0.8147,0.6875,44016
"Merced County, CA",CA,86055,0.7126,0.7172,43978
"Chittenden County, VT",VT,71456,0.8195,0.7438,43558
"Medina County, OH",OH,73086,0.8389,0.704,43162
"Hernando County, FL",FL,82475,0.7485,0.6892,42549
"Bay County, FL",FL,78778,0.7818,0.6892,42448
"Iredell County, NC",NC,76344,0.7962,0.6941,42193
"Olmsted County, MN",MN,66918,0.8395,0.7504,42158
"Yolo County, CA",CA,76693,0.7661,0.7172,42140
"Butte County, CA",CA,83312,0.7052,0.7172,42138
"Jefferson County, TX",TX,94807,0.6914,0.6402,41964
"Winnebago County, WI",WI,72667,0.776,0.7438,41941
"Santa Rosa County, FL",FL,72605,0.8381,0.6892,41938
"Kent County, RI",RI,72839,0.805,0.7139,41858
"Kootenai County, ID",ID,71172,0.7973,0.7305,41454
"Scott County, IA",IA,73132,0.7773,0.7288,41427
"Champaign County, IL",IL,85472,0.6759,0.7156,41340
"Anderson County, SC",SC,83904,0.7216,0.6809,41223
"Washington County, UT",UT,69786,0.809,0.7288,41146
"Broome County, NY",NY,82005,0.7025,0.7139,41128
"Hendricks County, IN",IN,67110,0.8747,0.699,41033
"Ulster County, NY",NY,74278,0.7699,0.7139,40823
"Smith County, TX",TX,83134,0.7654,0.6402,40736
"Kenosha County, WI",WI,68904,0.7931,0.7438,40646
"Trumbull County, OH",OH,86550,0.6659,0.704,40575
"Hawaii County, HI",HI,74072,0.7476,0.7321,40542
"Tuscaloosa County, AL",AL,90052,0.7057,0.6351,40360
"Newport News city, VA",VA,76112,0.7379,0.7172,40281
"Onslow County, NC",NC,75265,0.7666,0.6941,40049
"Shawnee County, KS",KS,75458,0.7402,0.7156,39969
"Yellowstone County, MT",MT,69897,0.7796,0.7321,39891
"Peoria County, IL",IL,77755,0.716,0.7156,39838
"Boone County, MO",MO,76562,0.7405,0.7024,39824
"Kent County, DE",DE,71424,0.7901,0.704,39729
"Carroll County, MD",MD,64285,0.8692,0.7057,39431
"Montgomery County, AL",AL,91381,0.6768,0.6351,39277
"Vanderburgh County, IN",IN,78270,0.7177,0.699,39268
"Yuma County, AZ",AZ,79341,0.7137,0.6925,39212
"Rock County, WI",WI,67201,0.7795,0.7438,38963
"Ellis County, TX",TX,71759,0.8452,0.6402,38830
"Beaver County, PA",PA,72257,0.7502,0.7156,38789
"Porter County, IN",IN,68639,0.8054,0.699,38643
"Greene County, OH",OH,68166,0.8034,0.704,38556
"Licking County, OH",OH,68620,0.7971,0.704,38508
"Comal County, TX",TX,71354,0.843,0.6402,38507
"Brazos County, TX",TX,91087,0.6603,0.6402,38504
"Saginaw County, MI",MI,77958,0.6931,0.7106,38396
"Elkhart County, IN",IN,72309,0.7591,0.699,38366
"Sumter County, FL",FL,70318,0.7895,0.6892,38261
"Brunswick County, NC",NC,69124,0.7915,0.6941,37977
"Shasta County, CA",CA,71232,0.7401,0.7172,37810
"McLean County, IL",IL,70220,0.7501,0.7156,37693
"Hall County, GA",GA,73551,0.7984,0.6402,37596
"Charles County, MD",MD,60875,0.8738,0.7057,37540
"Doña Ana County, NM",NM,84889,0.646,0.6842,37519
"Rensselaer County, NY",NY,66686,0.7839,0.7139,37320
"Indian River County, FL",FL,70816,0.7644,0.6892,37309
"Merrimack County, NH",NH,60901,0.8236,0.7405,37140
"Scott County, MN",MN,54971,0.8886,0.7504,36654
"Schenectady County, NY",NY,66902,0.7674,0.7139,36651
"St. Clair County, MI",MI,67816,0.7584,0.7106,36547
"Santa Fe County, NM",NM,70767,0.7547,0.6842,36542
"Kenton County, KY",KY,67367,0.787,0.6892,36541
"Caddo Parish, LA",LA,95771,0.6098,0.6254,36527
"Franklin County, PA",PA,63510,0.8031,0.7156,36499
"Sussex County, NJ",NJ,57767,0.8758,0.7189,36372
"Johnson County, IN",IN,62554,0.8309,0.699,36332
"Mesa County, CO",CO,65830,0.7547,0.7305,36292
"Martin County, FL",FL,67801,0.7759,0.6892,36258
"Tippecanoe County, IN",IN,75808,0.6816,0.699,36120
"Kanawha County, WV",WV,76459,0.6897,0.6809,35909
"Webb County, TX",TX,81373,0.6873,0.6402,35804
"Pueblo County, CO",CO,68523,0.715,0.7305,35789
"Washington County, WI",WI,57070,0.8403,0.7438,35670
"Stearns County, MN",MN,61403,0.7725,0.7504,35593
"Wright County, MN",MN,54010,0.8731,0.7504,35387
"Hampshire County, MA",MA,62114,0.7761,0.7338,35374
"Pitt County, NC",NC,74533,0.6834,0.6941,35356
"Alamance County, NC",NC,70062,0.7253,0.6941,35271
"Midland County, TX",TX,67651,0.8088,0.6402,35031
"Aiken County, SC",SC,69916,0.7355,0.6809,35013
"Harrison County, MS",MS,83358,0.6982,0.6006,34954
"Monroe County, MI",MI,63029,0.7804,0.7106,34952
"Muscogee County, GA",GA,81415,0.6694,0.6402,34889
"Muskegon County, MI",MI,67732,0.7247,0.7106,34881
"Fairfield County, OH",OH,60357,0.8184,0.704,34776
"Davidson County, NC",NC,69846,0.7171,0.6941,34765
"Guadalupe County, TX",TX,65424,0.8294,0.6402,34740
"Portage County, OH",OH,65249,0.7545,0.704,34658
"Calcasieu Parish, LA",LA,77957,0.7092,0.6254,34576
"Stafford County, VA",VA,52326,0.9211,0.7172,34567
"Penobscot County, ME",ME,65221,0.7204,0.7338,34476
"Dorchester County, SC",SC,63179,0.7992,0.6809,34378
"Wilson County, TN",TN,59139,0.8422,0.6875,34242
"Marathon County, WI",WI,57866,0.7948,0.7438,34208
"Monroe County, PA",PA,61212,0.7804,0.7156,34184
"Johnson County, IA",IA,63341,0.74,0.7288,34163
"Catawba County, NC",NC,66227,0.7398,0.6941,34007
"DeSoto County, MS",MS,70986,0.7963,0.6006,33949
"Maui County, HI",HI,55841,0.8301,0.7321,33934
"Johnson County, TX",TX,65507,0.8089,0.6402,33924
"Paulding County, GA",GA,60008,0.8776,0.6402,33714
"Jackson County, MI",MI,62540,0.7479,0.7106,33235
"Citrus County, FL",FL,71291,0.6747,0.6892,33152
"Hinds County, MS",MS,89578,0.6132,0.6006,32991
"Hunterdon County, NJ",NJ,50860,0.8976,0.7189,32818
"Spotsylvania County, VA",VA,52481,0.8692,0.7172,32715
"Sullivan County, TN",TN,68907,0.6837,0.6875,32391
"Washington County, MD",MD,59818,0.7636,0.7057,32232
"Canadian County, OK",OK,58227,0.8412,0.657,32181
"Berrien County, MI",MI,63999,0.7032,0.7106,31979
"Richmond County, GA",GA,76694,0.65,0.6402,31915
"Houston County, GA",GA,63851,0.7794,0.6402,31860
"Sandoval County, NM",NM,56895,0.8179,0.6842,31838
"Rock Island County, IL",IL,61733,0.7204,0.7156,31824
"Lebanon County, PA",PA,56712,0.7791,0.7156,31619
"Wyandotte County, KS",KS,61562,0.7156,0.7156,31526
"Berkshire County, MA",MA,57585,0.7431,0.7338,31400
"Washington County, RI",RI,52549,0.8322,0.7139,31220
"Orange County, NC",NC,57342,0.7837,0.6941,31192
"Skagit County, WA",WA,52329,0.8054,0.7388,31137
"Centre County, PA",PA,59013,0.7365,0.7156,31103
"Gallatin County, MT",MT,51215,0.8286,0.7321,31067
"Strafford County, NH",NH,52080,0.8031,0.7405,30970
"Hampton city, VA",VA,58057,0.7392,0.7172,30779
"Blount County, TN",TN,55522,0.8063,0.6875,30776
"Coweta County, GA",GA,56275,0.852,0.6402,30696
"Schuylkill County, PA",PA,57988,0.7381,0.7156,30628
"Ector County, TX",TX,64563,0.7383,0.6402,30514
"Lee County, AL",AL,69436,0.6914,0.6351,30489
"Tazewell County, IL",IL,54051,0.7815,0.7156,30227
"Napa County, CA",CA,49763,0.8432,0.7172,30093
"Boone County, KY",KY,50963,0.8533,0.6892,29969
"Parker County, TX",TX,56437,0.8256,0.6402,29829
"Columbia County, GA",GA,55149,0.8446,0.6402,29820
"Kennebec County, ME",ME,54312,0.7476,0.7338,29795
"Rowan County, NC",NC,58899,0.7256,0.6941,29664
"La Crosse County, WI",WI,51497,0.7723,0.7438,29583
